player_id,player_name,player_hand,player_ht,player_age,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,rank,opponent_rank,surface,tourney_level,best_of,target,month
104527,Stan Wawrinka,R,183,37,2,1,40,22,13,4,8,3,8,130,14,Hard,A,3,0,2
104527,Stan Wawrinka,R,183,38,2,0,76,48,33,15,11,5,7,84,33,Clay,M,3,0,5
104527,Stan Wawrinka,R,183,38,4,1,60,39,24,9,9,6,9,51,70,Hard,M,3,0,8
104527,Stan Wawrinka,R,183,37,1,1,63,34,20,11,8,10,14,100,13,Hard,M,3,0,3
104527,Stan Wawrinka,R,183,38,3,1,56,30,24,18,11,0,1,72,59,Clay,A,3,1,7
104527,Stan Wawrinka,R,183,38,15,6,114,54,49,37,18,0,0,47,82,Hard,A,3,0,9
104527,Stan Wawrinka,R,183,38,2,2,72,42,32,13,10,3,5,90,10,Clay,M,3,0,4
104527,Stan Wawrinka,R,183,38,6,3,109,71,53,19,17,9,11,88,47,Grass,G,5,1,7
104527,Stan Wawrinka,R,183,38,5,1,103,57,53,25,19,2,3,88,32,Grass,G,5,1,7
104527,Stan Wawrinka,R,183,38,9,4,123,73,49,26,16,9,11,90,35,Clay,M,3,1,4
104527,Stan Wawrinka,R,183,38,4,2,99,56,42,21,15,3,5,84,87,Clay,A,3,0,4
104527,Stan Wawrinka,R,183,38,8,4,107,53,32,29,17,8,13,49,6,Hard,G,5,0,8
104527,Stan Wawrinka,R,183,38,10,1,75,46,35,10,11,4,8,46,55,Hard,M,3,0,10
104527,Stan Wawrinka,R,183,38,6,0,92,39,27,28,14,5,9,88,2,Grass,G,5,0,7
104527,Stan Wawrinka,R,183,38,2,3,58,38,26,6,9,5,9,74,110,Clay,A,3,0,7
104527,Stan Wawrinka,R,183,37,12,1,102,58,43,27,16,6,8,100,8,Hard,M,3,1,3
104527,Stan Wawrinka,R,183,37,11,1,47,27,26,12,9,0,0,130,45,Hard,A,3,1,2
104527,Stan Wawrinka,R,183,37,4,0,69,44,37,15,11,1,1,130,50,Hard,A,3,1,2
104527,Stan Wawrinka,R,183,38,19,1,96,54,46,31,17,2,2,84,39,Clay,M,3,1,4
104527,Stan Wawrinka,R,183,38,4,2,90,54,39,19,15,5,9,72,90,Clay,A,3,0,7
104527,Stan Wawrinka,R,183,37,10,2,63,34,29,16,12,2,4,100,186,Hard,M,3,1,3
104527,Stan Wawrinka,R,183,37,13,3,65,34,30,19,11,1,2,100,31,Hard,M,3,1,3
104527,Stan Wawrinka,R,183,38,5,0,56,32,27,16,10,1,1,72,43,Clay,A,3,1,7
104527,Stan Wawrinka,R,183,38,2,1,54,26,20,17,10,2,4,72,108,Clay,A,3,1,7
104527,Stan Wawrinka,R,183,38,7,0,60,43,29,5,11,2,6,84,6,Clay,M,3,0,4
104527,Stan Wawrinka,R,183,38,4,2,50,30,23,12,9,2,3,72,129,Clay,A,3,1,7
104527,Stan Wawrinka,R,183,38,1,1,43,27,17,8,8,1,4,46,81,Hard,A,3,0,10
104527,Stan Wawrinka,R,183,38,14,4,192,108,75,45,26,10,15,89,67,Clay,G,5,1,5
104527,Stan Wawrinka,R,183,38,4,1,30,16,15,9,6,0,0,74,60,Clay,A,3,1,7
104527,Stan Wawrinka,R,183,38,3,1,35,20,16,12,7,0,0,53,81,Hard,A,3,1,11
104527,Stan Wawrinka,R,183,38,8,2,67,37,32,16,11,2,3,53,70,Hard,A,3,0,11
104527,Stan Wawrinka,R,183,37,10,0,63,34,29,19,11,0,0,148,37,Hard,A,3,1,1
104527,Stan Wawrinka,R,183,38,17,2,137,67,53,39,21,7,9,49,34,Hard,G,5,1,8
104527,Stan Wawrinka,R,183,37,9,3,67,33,26,21,11,1,3,148,10,Hard,A,3,0,1
104527,Stan Wawrinka,R,183,38,10,6,84,46,36,17,15,1,5,51,108,Hard,M,3,0,10
104527,Stan Wawrinka,R,183,38,12,0,90,49,41,22,16,0,1,49,44,Hard,G,5,1,8
104527,Stan Wawrinka,R,183,37,16,4,172,99,72,23,25,14,23,139,53,Hard,G,5,0,1
104527,Stan Wawrinka,R,183,38,7,3,69,41,30,18,11,5,6,46,76,Hard,A,3,1,10
104545,John Isner,R,206,38,20,1,75,50,41,11,11,1,2,126,190,Grass,A,3,0,7
